id,campeonatoId,rodada,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
802,9,23,2505,36,13817,2,51:00,96,Wellington Silva Sanches Aguiar -,Vitória,1191,19:51
803,9,23,2505,36,13818,2,50:00,95,Jhonny Lucas Flora Barboza -,Vitória,1190,19:50
804,9,24,2516,50,13872,2,49:00,94,Artur Sergio Batista de Souza -,Ponte Preta,1189,19:49
805,9,24,2517,53,13878,1,30:00,30,Rafael da Cunha Jensen -,Sampaio Corrêa,1110,18:30
806,9,24,2517,53,13879,1,33:00,33,TGCelio Jose Rossi -,Sampaio Corrêa,1113,18:33
807,9,25,2521,36,13905,1,24:00,24,Cleidson Andrade de Souza Silva -,Vitória,1104,18:24
808,9,26,2530,42,13957,2,52:00,97,Ben-hur Moreira Peres -,Guarani,1192,19:52
809,9,26,2532,22,13976,2,51:00,96,Felipe Mercier de Lucena -,Avaí,1041,17:21
810,9,26,2532,22,13977,2,14:00,59,Denilson Pereira Junior -,Avaí,1004,16:44
811,9,26,2539,60,14029,2,50:00,95,Alex da Silva -,Abc,1130,18:50
812,9,26,2539,60,14030,2,48:00,93,Wallace Madeira Almeida -,Abc,1128,18:48
813,9,28,2555,36,14107,1,17:00,17,Renato de Cassio Negrao -,Vitória,1097,18:17
814,9,28,2559,60,14132,2,47:00,92,Glebson Robson Barroso de Lira -,Abc,1397,23:17
815,9,29,2560,50,14136,2,24:00,69,Jeferson Marinho dos Santos -,Ponte Preta,1224,20:24
816,9,29,2562,22,14148,2,5:00,50,Jael Ferreira Vieira -,Avaí,1175,19:35
817,9,29,2562,22,14149,2,36:00,81,Igor Inocencio de Oliveira -,Avaí,1206,20:06
818,9,29,2569,47,14191,2,40:00,85,Daniel Pollo Barion -,Crb,1120,18:40
819,9,30,2572,22,14208,2,49:00,94,Felipe Jose Almeida da Rocha -,Avaí,1249,20:49
820,9,30,2573,57,14211,2,23:00,68,Marcel Philipe Afonso Genestra Scalese -,Ituano,1103,18:23
821,9,32,2592,37,14313,2,22:00,67,Rayan Poltronieri Pereira -,Criciúma,1372,22:52
822,9,32,2594,55,14325,2,31:00,76,Georgemy Goncalves -,Novorizontino,1111,18:31
823,9,32,2595,42,14330,1,26:00,26,Matheus Bueno Batista -,Guarani,1106,18:26
824,9,32,2596,53,14338,2,10:00,55,Mateus Cardoso Francisco -,Sampaio Corrêa,1180,19:40
825,9,33,2602,10,14374,2,50:00,95,David Ricardo Loiola da Silva -,Ceará,1190,19:50
826,9,34,2610,42,14413,1,34:00,34,Lucas Cavalcante Silva Afonso -,Guarani,1324,22:04
827,9,34,2611,3,14419,2,19:00,64,Bruno Nunes de Barros -,Atlético,1219,20:19
