id,nome,cbf
497,Chayene Medeiros Oliveira Santos,14
498,Vitor José Santos Severino,AT
499,TGJose Luiz Baptista de Leao -,
500,Andre Luis da Costa Alfredo,23
501,David Luiz Moreira Marinho,23
502,Bruno Henrique Pinto,27
503,Pablo Nascimento Castro,30
504,Luis Antonio da Rocha Junior,29
505,Anthony Rigoberto Landazuri Estacio,3
506,Robson dos Santos Fernandes,7
507,Ronald dos Santos Lopes,14
508,Kevin Joel Lomonaco,14
509,Bruno Conceicao Praxedes,25
510,Jose Andres Hurtado Cheme,34
511,Wanderson Maciel Sousa Campos,11
512,Bruno Mendez Cittadini,22
513,Taison Barcellos Freda,7
514,MDGuilherme Velho Caputo -,
515,Abel Fernando Moreira Ferreira,TC
516,Gabriel Vinicius Menino,25
517,Otavio Henrique Passos Santos,5
518,Mariano Ferreira Filho,25
519,Ignacio Martin Fernandez,26
520,Elvis Vieira Araujo,10
521,Caio Vinicius da Conceicao,15
522,Victor Leandro Cuesta,15
523,Lucas Fernandes da Silva,18
524,Paulo Henrique Chagas de Lima,10
525,Felipe Melo de Carvalho,52
526,Manoel Messias Silva Carvalho,26
527,John Kennedy Batista de Souza,23
528,PFMarcos de Seixas Correa,
529,William Matheus da Silva,6
530,Rodrigo Alves Soares,2
531,Thalisson Kelven da Silva,4
532,Gustavo Nonato Santana -,8
533,MDRicardo Reiniger Olivero -,
534,Bernardo Marcos Lemes,25
535,Willian Roberto de Farias,8
536,Nathan Gabriel de Souza Mendes,45
537,Valdemir de Oliveira Soares,97
538,Rodrigo Oliveira Lindoso,19
539,Fabio Santos Romeu,26
540,Roger Krug Guedes,9
541,João Vitor Xavier de Almeida,39
542,Edson Fernando da Silva Gomes,2
543,Leonardo Augusto dos Santos Pereira,20
544,Jorge de Moura Xavier,10
545,Leonardo Pinheiro da Conceicao,16
546,Alisson Euler de Freitas Castro,12
547,Arthur Largura Chaves,31
548,Bruno Cortes Barbosa,33
549,Marcos Leonardo Santos Almeida,9
550,Jhojan Esmaider Julio Palacios,8
551,Auro Alvaro da Cruz Junior,27
552,Luiz Felipe Scolari,TC
553,Nicolas Hernandez Rodriguez,2
554,Tomas Esteban Cuello,28
555,Christian Roberto Alves Cardoso,88
556,Hugo Moura Arruda da Silva,17
557,Pablo Felipe Teixeira,92
558,Richardson Fernandes dos Santos,7
559,Rodrigo Oliveira Lindoso,19
560,Severino do Ramo Clementino da Silva,2
561,Henrique Almeida Caixeta Nascentes,19
562,Felipe Azevedo dos Santos,11
563,Rubens Antonio Dias,44
564,Allan Rodrigues de Souza,29
565,Nathanael Ananias da Silva,40
566,Antônio Ricardo Mohamed,TC
567,André Trindade da Costa Neto,7
568,Paulo Henrique Chagas de Lima,10
569,Fabio Deivson Lopes Maciel,12
570,Fernando Diniz Silva,TC
571,Helio Junio Nunes de Castro,11
572,Leonardo Pereira,4
573,Lazaro Vinicius Marques,13
574,Willian Souza Arao da Silva,5
575,Gabriel Barbosa Almeida,9
576,Luan Candido de Almeida -,36
577,Joaquin Piquerez Moreira,22
578,Renzo Saravia,2
579,Madson Ferreira dos Santos,13
580,Rodrigo Fernandez Cedres,14
581,Edenilson Andrade dos Santos,8
582,Lucas Gabriel Ochandorena -,AT
583,Romulo Zanre Zwarg,32
584,Jean Carlos de Souza Irmer,5
585,Pablo Felipe Teixeira,92
586,Pedro Henrique Ribeiro Goncalves,34
587,Bento Matheus Krepski,1
588,Abner Vinicius da Silva Santos,16
589,Luiz Felipe Scolari,TC
590,Adailson Freire Pereira da Silva,97
591,Matheus de Sales Cabral,36
592,Hercules Pereira do Nascimento,35
593,TGNahuel Dario Martinez -,
594,Eduardo Jacinto de Biasi,22
595,Gledson Ribeiro dos Santos,83
596,Kevin Peterson dos Santos Silva,13
597,Diego Daniel Rodrigues de Matos,6
598,Gabriel Baralhas dos Santos,16
599,Diego Daniel Rodrigues de Matos -,6
600,Raul Gustavo Pereira Bicalho,34
601,Eduardo Santos Queiroz,37
602,Joao Carlos Heidemann,1
603,Wanderson Ferreira de Oliveira -,19
604,Igor Silveira Gomes,26
605,Diego Henrique Costa Barbosa,4
606,Eder Citadin Martins,23
607,Igor Guilherme Barbosa da Paixao,98
608,Adrian Emmanuel Martinez,52
609,Alef Mangueira Severino Pereira,11
610,Guilherme Antonio Arana Lopes,13
611,Allan Rodrigues de Souza,29
612,Jair Rodrigues Junior,8
613,Everson Felipe Marques Pires,22
614,Angelo Gabriel Borges Damaceno,11
615,Joao Paulo Silva Martins,34
616,Ricardo Goulart Pereira,10
617,Auro Alvaro da Cruz Junior,27
618,Lucas Pires Silva -,44
619,Samuel Xavier Brito,2
620,André Trindade da Costa Neto,7
621,Jhon Adolfo Arias Andrade,21
622,Hayner Willian Monjardim Cordeiro,2
623,Gabriel Baralhas dos Santos,5
624,David Braz de Oliveira Filho -,44
625,Rodrigo Nestor Bertalia,25
626,Joao Miranda de Souza Filho,22
627,Henrique Almeida Caixeta Nascentes,19
628,Wellington Pereira do Nascimento,9
629,Giuliano Victor de Paula,11
630,Vitor Mendes Alves,34
631,Jean Carlos de Souza Irmer,5
632,Vitor Gabriel Claudino Rego Ferreira,63
633,Yuri Oliveira Lima,50
634,Raniele Almeida Melo,14
635,Eduardo Jacinto de Biasi,22
636,Bruno Cesar Pereira Silva,8
637,Matheus Galdezani,92
638,Vladimir Orlando Cardoso de Araujo Filho,89
639,Hugo Gonçalves Ferreira Neto,16
640,Vinicius Lopes da Silva,70
641,Romildo Del Piage de Souza,23
642,Erison Danilo de Souza,89
643,Bruno Cesar Pereira Silva -,8
644,Carlos Maria de Pena Bonino,14
645,Taison Barcellos Freda,7
646,Fabricio Tomas Bustos Sein,16
647,Matheus Franca Silva,34
648,Filipe Luis Kasmirski,16
649,Mario Sergio Santos Costa,31
650,Glaybson Yago Souza Lisbôa,22
651,Matheus Fernandes Siqueira,6
652,Marcelo Cirino da Silva,7
653,Erick Luis Conrado Carvalho,26
654,Caio Vinicius da Conceicao,15
655,Fellipe Ramos Ignez Bastos,8
656,Sidnei Rechel da Silva Junior,12
657,Elvis Vieira Araujo,10
658,Reynaldo Cesar Moraes,29
659,Magno Jose da Silva,2
660,Jair Zaksauskas Ribeiro Ventura,TC
661,Richardson Fernandes dos Santos,7
662,Joao Ricardo Riedi,1
663,Bruno de Jesus Pacheco -,6
664,Aderlan de Lima Silva,13
665,Helio Junio Nunes de Castro,11
666,Mauricio Nogueira Barbieri,TC
667,Jadsom Meemyas de Oliveira da Silva,5
668,Rafael Gustavo Meneghel Gava,8
669,Antonio José Cardoso de Oliveira,TC
670,Eduardo Pereira Rodrigues,7
671,Fabio Silva de Freitas,35
672,Guilherme da Trindade Dubas,18
673,Thonny Anderson da Silva Carvalho -,19
674,Gustavo Nonato Santana,8
675,Carlos Alberto Gomes da Silva Filho,38
676,Marlon Matheus Lopes do Nascimento,6
677,Everaldo Silva do Nascimento,37
678,Alexandre Egea -,30
679,Victor Vinicius Coelho Santos,11
680,Andre Felipe Ribeiro de Souza,9
681,Camilo Reijers de Oliveira,5
682,Antonio José Cardoso de Oliveira,TC
683,Leonardo Rech Ortiz,3
684,Jadsom Meemyas de Oliveira da Silva,5
685,Matias Galarza Fonda,15
686,Jose Rafael Vivian,8
687,Danilo dos Santos de Oliveira,28
688,Joao Miguel Barreto Martins,AT
689,Joelton Francisco Urtiga,AT
690,Diego Churin,9
691,Arthur Henrique Peixoto Santos -,16
692,Jonathan Calleri,9
693,Robert Abel Arboleda Escobar,5
694,Patrick Bezerra do Nascimento,88
695,Renzo Saravia,2
696,Luis Manuel Ribeiro de Castro,TC
697,Mauro Joel Carli,3
698,Kayque Luiz Pereira,62
699,Patrick de Paula Carreiro,8
700,Victor Hugo Soares dos Santos,4
701,Victor Leandro Cuesta,15
702,Auro Alvaro da Cruz Junior,27
703,Rodrigo Fernandez Cedres,14
704,Paulo Roberto Moccelin,94
705,Yuri Oliveira Lima -,50
706,RUBENS ANTONIO DIAS,44
707,Junior Osmar Ignacio Alonso Mujica,3
708,Calebe Gonçalves Ferreira da Silva,27
709,Richard Candido Coelho,25
710,Fernando Pereira do Nascimento,8
711,Moises Roberto Barbosa,20
712,Daniel de Sousa Brito,1
713,Igor Matheus Liziero Pereira,5
714,Renato Barbosa dos Santos Junior,19
715,Reynaldo Cesar Moraes,29
716,Matheus de Sales Cabral,36
717,Luan Dias da Silva,99
718,José Welison da Silva,17
719,Robson dos Santos Fernandes,7
720,Marcelo Boeck,1
721,Jose Renato da Silva Junior,7
722,Rafael Antonio Figueiredo Ramos,21
723,Roger Krug Guedes,9
724,Miguel David Terans Perez,20
725,Abner Vinicius da Silva Santos,16
726,Hugo Moura Arruda da Silva -,17
727,Roni Medeiros de Moura -,29
728,Ignacio Martin Fernandez,26
