id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
142,143 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,15,04/07/2022,20:00,1200,20,Noite,Nabi Abi Chedid / Braganca Paulista,11,8,5,1
143,144 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,15,02/07/2022,21:00,1260,21,Noite,Allianz Parque / Sao Paulo,6,5,5,1
144,145 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,15,02/07/2022,19:00,1140,19,Noite,Urbano Caldeira / Santos,3,15,6,0
145,146 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,15,02/07/2022,16:30,990,16,Tarde,Alfredo Jaconi / Caxias do Sul,10,0,3,0
146,147 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,15,02/07/2022,19:00,1140,19,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,7,1,7,1
147,148 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,15,03/07/2022,16:00,960,16,Tarde,Antônio Accioly / Goiania,14,4,12,0
148,149 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,22,15,03/07/2022,11:00,660,11,Manha,Aderbal Ramos da Silva / Florianopolis,16,13,0,0
149,150 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,15,03/07/2022,18:00,1080,18,Noite,Major Antônio Couto Pereira / Curitiba,18,12,5,1
150,151 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,16,10/07/2022,18:00,1080,18,Noite,Magalhães Pinto / Belo Horizonte,0,4,2,0
151,152 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,16,09/07/2022,19:00,1140,19,Noite,Jornalista Mário Filho / Rio de Janeiro,2,7,5,0
152,153 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,16,09/07/2022,16:30,990,16,Tarde,Nabi Abi Chedid / Braganca Paulista,11,16,4,0
153,154 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,16,10/07/2022,16:00,960,16,Tarde,Arena Corinthians / Sao Paulo,9,15,6,1
154,155 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,16,10/07/2022,18:00,1080,18,Noite,Urbano Caldeira / Santos,3,14,11,0
155,156 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,16,11/07/2022,20:00,1200,20,Noite,José Pinheiro Borda / Porto Alegre,1,17,5,0
156,157 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,16,10/07/2022,18:00,1080,18,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,12,6,1,0
