id,nome,cbf
477,Cassio Ramos,12
478,Samuel Xavier Brito,2
479,Felipe Melo de Carvalho,30
480,Matheus Fernandes Siqueira,35
481,Helio Junio Nunes de Castro,11
482,Deivid Washington de Souza Eugenio,36
483,Gabriel Vinicius Menino,25
484,Joao Miguel Barreto Martins,AT
485,Raphael Cavalcante Veiga,23
486,Vanderlan Barbosa da Silva,6
487,Nathanael Ananias da Silva,40
488,Cristian David Pavon,9
489,Federico Matias Zaracho,15
490,Eduardo German Coudet,TC
491,Gustavo Campanharo,17
492,Everaldo Stum,9
493,Ryan Carlos Santos de Sousa,66
494,Adriel Vasconcelos Ramos,31
495,Reinaldo Manoel da Silva,22
496,Gustavo Martins de Souza Santos,53
497,Andre Henrique da Silva Martins,77
498,Vitor Frezarin Bueno,8
499,Thiago Heleno Henrique Ferreira,44
500,Hercules Pereira do Nascimento,35
501,Joao Ricardo Riedi,1
502,Glaybson Yago Souza Lisbôa,22
503,Manuel Vicente Capasso,22
504,Wesley da Conceicao Duarte Moreira,57
505,Gabriel Vasconcelos Ferreira,1
506,Bruno Viana Willemen da Silva,5
507,Matheus Henrique Bianqui,17
508,Benjamin Kuscevic Jaramillo,13
509,Raniele Almeida Melo,14
510,Alan Pereira Empereur,33
511,Itaro Patric Cardoso Calmon,94
512,Antonio José Cardoso de Oliveira,TC
513,Luan Patrick Wiedthauper,30
514,Matheus Fernandes Siqueira,35
515,Marcilio Florencio Mota Filho,33
516,Paulo Henrique Chagas de Lima,10
517,Felipe Melo de Carvalho,30
518,Samuel Xavier Brito,2
519,Vinicius Moreira de Lima,45
520,Manuel Vicente Capasso,22
521,Alex Teixeira Santos,7
522,Jose Rafael Vivian,8
523,Jhonatan dos Santos Rosa,40
524,Luan Garcia Teixeira,13
525,Gustavo Raul Gomez Portillo,15
526,Benjamin Kuscevic Jaramillo,13
527,Bruno Viana Willemen da Silva,5
528,Henrique Adriano Buss,3
529,Ocimar de Almeida Junior,23
530,Andrey Ramos do Nascimento,7
531,Rodrigo Fernandez Cedres,14
532,Joaquim Henrique Pereira Silva,28
533,Joao Lucas de Souza Cardoso,30
534,Jean Dias da Costa,38
535,Nicolas Hernandez Rodriguez,22
536,Alan Patrick Lourenço,10
537,Guilherme Costa Marques,60
538,Magno Jose da Silva,2
539,Matheus Alexandre Anastacio de Souza,2
540,Raniele Almeida Melo,14
541,Marllon Goncalves Jeronimo Borges,4
