id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
26,97,13,612,2,47:00,92,Guilherme de Aguiar Camacho -,Santos,1067,17:47
27,100,19,633,2,54:00,99,Fernando Diniz Silva -,Fluminense,1404,23:24
28,106,18,662,1,33:00,33,Eder Ferreira Graminho -,América Fc Saf,1173,19:33
29,110,19,680,1,37:00,37,Marcilio Florencio Mota Filho -,Fluminense,1147,19:07
30,111,5,691,2,42:00,87,Antonio José Cardoso de Oliveira -,Cuiabá Saf,1362,22:42
31,116,1,715,2,47:00,92,Bruno Gomes da Silva Clevelario -,Coritiba,1067,17:47
32,118,10,725,2,44:00,89,Renzo Saravia -,Atlético Mineiro,1214,20:14
33,125,10,766,1,51:00,51,Luiz Felipe Scolari -,Atlético Mineiro,1011,16:51
34,126,7,777,2,24:00,69,Lucas da Cruz Oliveira -,Cruzeiro Saf,1344,22:24
35,127,4,783,2,20:00,65,Gustavo Garcia dos Santos -,Palmeiras,1040,17:20
36,133,13,815,2,35:00,80,Paulo Cesar Turra -,Santos,755,12:35
