id,nome,cbf
414,Luiz Gustavo da Silva Machado Duarte,44
415,Cleiton Schwengber,1
416,Rodrigo Eduardo da Silva,34
417,Marcelo Jose de Lima Filho,11
418,Luan Candido de Almeida,36
419,Victor Hugo Gomes Silva,29
420,Evertton Gustavo Fernandes Araujo,52
421,Max Alves da Silva,10
422,Breno Henrique Vasconcelos Lopes,26
423,Jos,17
424,Tobias Pereira Figueiredo,29
425,Luiz Gustavo Almeida Pinto,1
426,Thaciano Mickael da Silva,16
427,Eder Citadin Martins,23
428,Rodrigo Garro,10
429,Charles Mariano Aranguiz Sandoval,20
430,Matheus Fellipe Costa Pereira,10
431,Diogo Barbosa Mendanha,6
432,Robert Vinicius Rodrigues Silva,80
433,Thiago dos Santos,29
434,Caio Vinicius da Conceicao,15
435,Romulo Helberte Pereira Junior,47
436,Leonardo Rech Ortiz,3
437,Jean Lucas de Souza Oliveira,6
438,Erick Luis Conrado Carvalho,26
439,Christian Roberto Alves Cardoso,88
440,Lucas Angel Esquivel,37
441,Pablo Felipe Teixeira,92
442,Alex Paulo Menezes Santana,80
443,Eric dos Santos Rodrigues,7
444,Vitor Hugo Naum dos Santos,28
445,Alisson Euler de Freitas Castro,25
446,William Gomes Carvalho Santos,39
447,Mateus Pasinato,14
448,Railan Reis Ferreira,21
449,Ramon Ramos Lima,23
450,Pedro Augusto Borges da Costa,28
451,Edenilson Andrade dos Santos,15
452,Bolasie Yala,11
453,Lucas Henrique Barbosa,21
454,Luiz Gustavo da Silva Machado Duarte,44
455,Pedro Tonon Geromel,3
456,Fernando Francisco Reges,5
457,Fabricio Tomas Bustos Sein,16
458,Gustavo Nunes Fernandes Gomes,39
459,Douglas Moreira Fagundes,17
460,Igor Silveira Gomes,17
461,Tomas Pochettino,7
462,Leandro Emmanuel Martinez,8
463,Bruno de Lara Fuchs,3
464,Romulo Helberte Pereira Junior,47
465,Gabriel Veron Fonseca de Souza,30
466,Ramiro Moschen Benetti,17
467,Leonardo Rech Ortiz,3
468,Miguel David Terans Perez,80
469,Vinicius Moreira de Lima,45
470,Patryck Lanza dos Reis,36
471,Jose Manuel Alberto Lopez,42
472,Joaquin Piquerez Moreira,22
473,Jadson Alves dos Santos,16
474,Jose Marcos Alves Luis,3
475,Lucas Esteves Souza,16
476,Helio Junio Nunes de Castro,11
477,Nathan Gabriel de Souza Mendes,45
478,Luan Vinicius da Silva Santos,8
479,Pedro Raul Garay da Silva,20
480,Fernando Luiz Roza,5
481,Lucas Gabriel Di Yorio,7
482,Allyson Aires dos Santos,3
483,Clayson Henrique da Silva Vieira,25
484,Lucas da Silva Izidoro,30
485,Rhaldney Norberto Simi,7
486,Alexander Nahuel Barboza Ullua,20
487,Tobias Pereira Figueiredo,29
488,Gregore de Magalhaes Silva,26
489,Oscar David Romero Villamayor,70
490,Claudio Coelho Salvatico,27
491,Igor Rabello da Costa,16
492,Bruno de Lara Fuchs,3
493,Wesley Ribeiro Silva,21
494,Bruno Henrique Corsini,8
495,Lucas Nicolas Alario,31
496,Jose Ivaldo Almeida Silva,5
497,Thiago Heleno Henrique Ferreira,44
498,Gabriel Appelt Pires,22
499,Caio Vinicius da Conceicao,15
500,Samuel Xavier Brito,2
501,Alexsander Cristhian Gomes da Costa,5
502,Fernando Marcal de Oliveira,21
503,Helio Junio Nunes de Castro,11
504,Lincoln Henrique Oliveira dos Santos,10
505,Lucas Halter,3
506,Pedro Henrique Ribeiro Goncalves,14
507,Alan Pereira Empereur,33
508,Filipe Augusto Carvalho Souza,5
509,Leonardo Mana Hernandes,35
510,Carlos de Menezes Junior,25
511,Matheus Franca Silva,2
512,Lucas Fernandes da Silva,18
513,Marcos Gabriel do Nascimento,10
514,Ronald dos Santos Lopes,6
515,Robert Abel Arboleda Escobar,5
516,Newton Araujo da Costa Junior,8
517,Luciano da Rocha Neves,10
518,Claudio Coelho Salvatico,27
519,Pedro Augusto Borges da Costa,28
520,Ronielson da Silva Barbosa,10
521,Anibal Ismael Moreno,5
522,Emanuel Britez,19
523,Everton Galdino Moreira,13
524,Nathan Ribeiro Fernandes,32
525,Lucas Kal Schenfeld Prigioli  Goianiense Saf,5
526,Alejo Cruz Techera  Goianiense Saf,18
527,Walter Kannemann,4
528,Gabriel Baralhas dos Santos  Goianiense Saf,8
529,Emiliano Rodriguez Rosales  Goianiense Saf,9
530,Maswel Ananias Silva  Goianiense Saf,21
531,Edenilson Andrade dos Santos,15
532,Bruno Nunes de Barros  Goianiense Saf,13
533,Gerson Santos da Silva,8
534,Alan Luciano Ruschel,28
535,Mateus Eduardo Claus,77
536,Pedro Tonon Geromel,3
537,German Ezequiel Cano,14
538,Jan Franc Lucumi Gonzalez,17
539,Douglas Moreira Fagundes,17
540,Luiz Felipe do Nascimento dos Santos  Goianiense Saf,14
541,Bruno Zapelli,10
542,Leonardo Naldi de Matos,5
543,Jose Hugo Sousa dos Santos,17
544,Pablo Felipe Teixeira,92
545,Luiz de Araujo Guimaraes Neto,7
546,Kaiki Bruno da Silva,6
547,Joao Marcelo Messias Ferreira,43
548,Jose Antonio dos Santos Junior,11
549,Damian Nicolas Su,22
550,Raniele Almeida Melo,14
551,Fabio Silva de Freitas,35
552,Jose Rafael Vivian,8
553,Rodrigo Garro,10
554,Gabriel Vinicius Menino,25
555,Breno de Souza Bidon,27
556,Aldemir dos Santos Ferreira,47
557,Victor Hugo Soares dos Santos,4
558,Luciano da Rocha Neves,10
559,Alisson Euler de Freitas Castro,25
560,Luiz Gustavo Dias,16
561,Glaybson Yago Souza Lisboa,22
562,Lucas Pacheco Affini,88
563,Lucas da Silva Izidoro,30
564,Everton Tiago Barella de Souza Messias,55
565,Andre Luis da Costa Alfredo,97
566,Marcelo Hermes,22
567,Wanderson Maciel Sousa Campos,11
568,Eder Citadin Martins,23
569,Igor Gomes Silva,3
570,Rene Rodrigues Martins,6
571,Vitor de Oliveira Nunes dos Reis,44
572,Kaiky Marques Naves,34
573,Anibal Ismael Moreno,5
574,Rodrigo Ely,5
575,Nata Felipe de Amorim Santos,36
576,Bruno Henrique Pinto,27
577,Romulo Helberte Pereira Junior,47
578,Ayrton Lucas Dantas de Medeiros,6
579,Paulo Vitor Monteiro,27
580,Rodrigo Andr,21
581,Jadson Alves dos Santos,16
582,Jose Marcos Alves Luis,3
583,Matheus Martinelli Lima,8
584,Antonio Carlos Cunha Capocasali Junior,25
585,Diogo Barbosa Mendanha,6
586,Gustavo Prado Alves,47
587,Lucas Nicolas Alario,31
588,Thiago dos Santos,29
589,Alan Patrick Louren,10
590,Robert Renan Alves Barbosa,4
591,Juan Martin Lucero,9
592,Christian Chagas Tarouco,4
593,Matheus Rossetto,16
594,Igor Caique Coronado,77
595,Carlos de Menezes Junior,25
596,Gustavo Henrique Vernes,13
597,Caio Vinicius da Conceicao,15
598,Eduardo Marcelo Rodrigues Nunes,21
599,Wagner Leonardo Calvelo de Souza,4
600,Pedro Henrique Ribeiro Goncalves,14
601,Magno Jose da Silva  Goianiense Saf,2
