id,partidaId,timeId,jogadorId,tempo,minuto,jogador,time
48,10,14,48,1T,32:00,Alex Paulo Menezes Santana,Athletico Paranaense
49,10,14,49,2T,13:00,Jose Vitor Silva Neves,Athletico Paranaense
50,10,9,50,2T,25:00,Gustavo Nunes Fernandes Gomes,Grêmio
51,10,14,51,2T,25:00,Lucas Angel Esquivel,Athletico Paranaense
52,11,18,52,1T,28:00,Rodrigo Fagundes de Freitas,Criciúma
53,11,18,53,1T,44:00,Marcelo Hermes,Criciúma
54,11,11,54,2T,11:00,Guilherme Antonio Arana Lopes,Atlético Mineiro Saf
55,11,18,55,2T,35:00,Higor Matheus Meritao,Criciúma
56,11,11,56,2T,37:00,Alan Steven Franco Palma,Atlético Mineiro Saf
57,12,1,57,1T,20:00,Caio Alexandre Sousa E Silva,Bahia
58,12,1,58,1T,39:00,Thaciano Mickael da Silva,Bahia
59,12,6,59,2T,01:00,Vinicius Moreira de Lima,Fluminense
60,12,6,60,2T,05:00,Matheus Martinelli Lima,Fluminense
61,12,1,61,2T,08:00,Everton Augusto de Barros Ribeiro,Bahia
62,12,6,62,2T,24:00,John Kennedy Batista de Souza,Fluminense
63,12,6,63,2T,31:00,Alexsander Cristhian Gomes da Costa,Fluminense
64,12,6,64,2T,42:00,Paulo Henrique Chagas de Lima,Fluminense
65,12,1,65,2T,42:00,Everaldo Stum,Bahia
66,13,12,66,1T,03:00,Igor Vinicius de Souza,São Paulo
67,13,17,67,1T,26:00,Fabricio Bruno Soares de Faria,Flamengo
68,13,12,68,1T,39:00,Michel Daryl Araujo Villar,São Paulo
69,13,12,69,2T,42:00,Luciano da Rocha Neves,São Paulo
70,14,16,70,1T,02:00,Pedro Henrique Pereira da Silva,Atlético
71,14,3,71,1T,14:00,Lucas Halter,Botafogo
72,14,3,72,1T,29:00,Francisco das Chagas Soares dos Santos,Botafogo
73,14,16,73,2T,17:00,Rhaldney Norberto Simi,Atlético
74,14,16,74,2T,20:00,Luiz Felipe do Nascimento dos Santos,Atlético
75,14,16,75,2T,42:00,Bruno Nunes de Barros,Atlético
76,14,3,76,2T,45:00,Patrick de Paula Carreiro,Botafogo
77,15,0,77,1T,42:00,Rafael Santos Borre Maury,Internacional
78,15,0,78,2T,08:00,Gabriel Ivan Mercado,Internacional
79,15,5,79,2T,12:00,Jose Manuel Alberto Lopez,Palmeiras
80,15,5,80,2T,13:00,Anibal Ismael Moreno,Palmeiras
81,15,0,81,2T,20:00,Wesley Ribeiro Silva,Internacional
82,15,0,82,2T,35:00,Rene Rodrigues Martins,Internacional
83,16,7,83,2T,42:00,Vitor Hugo Naum dos Santos,Red Bull Bragantino
84,16,7,84,2T,43:00,Luan Candido de Almeida,Red Bull Bragantino
85,17,2,85,2T,26:00,Lucas Daniel Romero,Cruzeiro Saf
86,17,2,86,2T,37:00,Matheus Fellipe Costa Pereira,Cruzeiro Saf
87,17,13,87,2T,43:00,Pedro Augusto Borges da Costa,Fortaleza
88,18,4,88,1T,06:00,Wagner Leonardo Calvelo de Souza,Vitória
89,18,4,89,1T,11:00,Caio Vinicius da Conceicao,Vitória
90,18,15,90,1T,15:00,Lucas da Silva Izidoro,Cuiabá Saf
91,18,15,91,1T,22:00,Railan Reis Ferreira,Cuiabá Saf
92,18,4,92,2T,32:00,Luiz Adriano Souza da Silva,Vitória
93,18,4,93,2T,34:00,Willean Bernardo Willemen,Vitória
94,18,15,94,2T,40:00,Marllon Goncalves Jeronimo Borges,Cuiabá Saf
95,19,19,95,2T,24:00,Caique de Jesus Goncalves,Juventude
96,19,10,96,2T,36:00,Rodrigo Garro,Corinthians
97,19,19,97,2T,44:00,Jadson Alves dos Santos,Juventude
98,20,15,98,1T,12:00,Denilson Alves Borges,Cuiabá Saf
99,20,15,99,1T,14:00,Fernando Pereira do Nascimento,Cuiabá Saf
100,20,9,100,1T,41:00,Eduardo Santos Queiroz,Grêmio
101,20,9,101,2T,32:00,Everton Galdino Moreira,Grêmio
102,20,9,102,2T,43:00,Nathan Ribeiro Fernandes,Grêmio
103,21,2,103,2T,19:00,Joao Marcelo Messias Ferreira,Cruzeiro Saf
104,21,11,104,2T,23:00,Paulo Henrique Sampaio Filho,Atlético Mineiro Saf
105,21,2,105,2T,27:00,Lucas Silva Borges,Cruzeiro Saf
106,21,11,106,2T,43:00,Paolo Mauricio Lemos Merladett,Atlético Mineiro Saf
107,22,4,107,1T,22:00,Leonardo Naldi de Matos,Vitória
108,22,4,108,1T,41:00,Matheus Martins Fogaca de Paulo,Vitória
109,22,1,109,2T,02:00,Santiago Arias Naranjo,Bahia
110,22,1,110,2T,05:00,Victor Leandro Cuesta,Bahia
111,22,4,111,2T,20:00,Jose Carlos Cracco Neto,Vitória
112,23,6,112,1T,06:00,Felipe Melo de Carvalho,Fluminense
113,23,6,113,1T,28:00,Paulo Henrique Chagas de Lima,Fluminense
114,23,6,114,2T,21:00,Andr,Fluminense
115,23,6,115,2T,43:00,Vinicius Moreira de Lima,Fluminense
116,24,19,116,1T,07:00,Lucas de Freitas Molarinho Chagas,Juventude
117,24,19,117,1T,17:00,Gabriel de Souza Inocencio,Juventude
118,24,3,118,1T,34:00,Jefferson Ruan Pereira dos Santos,Botafogo
119,24,19,119,1T,36:00,Gabriel Vasconcelos Ferreira,Juventude
120,24,3,120,2T,31:00,Marlon Rodrigues Freitas,Botafogo
121,24,3,121,2T,45:00,Diego Manuel Hernandez Gonzalez,Botafogo
122,25,17,122,1T,14:00,Allan Rodrigues de Souza,Flamengo
123,25,5,123,1T,20:00,Mayke Rocha de Oliveira,Palmeiras
124,25,17,124,1T,34:00,Leonardo Pereira,Flamengo
125,25,5,125,1T,41:00,Murilo Cerqueira Paim,Palmeiras
126,25,5,126,2T,24:00,Gustavo Raul Gomez Portillo,Palmeiras
127,25,17,127,2T,25:00,Erick Antonio Pulgar Farfan,Flamengo
128,25,5,128,2T,38:00,Ronielson da Silva Barbosa,Palmeiras
129,26,7,129,1T,26:00,Douglas Mendes Moreira,Red Bull Bragantino
130,26,7,130,1T,37:00,Eduardo Colcenti Antunes,Red Bull Bragantino
131,26,7,131,1T,39:00,Eric dos Santos Rodrigues,Red Bull Bragantino
132,26,10,132,2T,25:00,Raniele Almeida Melo,Corinthians
133,26,7,133,2T,34:00,Henry David Mosquera Sanchez,Red Bull Bragantino
134,27,0,134,1T,07:00,Hugo Mallo Novegil,Internacional
135,27,14,135,1T,08:00,Leonardo Ezequiel Godoy,Athletico Paranaense
136,27,0,136,1T,29:00,Robert Renan Alves Barbosa,Internacional
137,27,0,137,1T,35:00,Romulo Zanre Zwarg,Internacional
138,27,0,138,1T,45:00,Vitor Eduardo da Silva Matos,Internacional
139,27,14,139,2T,33:00,Fernando Luiz Roza,Athletico Paranaense
140,27,14,140,2T,36:00,Thiago Heleno Henrique Ferreira,Athletico Paranaense
141,27,0,141,2T,40:00,Wesley Ribeiro Silva,Internacional
142,27,14,142,2T,41:00,Agustin Canobbio Graviz,Athletico Paranaense
143,28,16,143,1T,32:00,Gabriel Baralhas dos Santos,Atlético
144,28,16,144,1T,38:00,Roni Medeiros de Moura,Atlético
145,28,16,145,2T,02:00,Gabriel de Sousa Barros,Atlético
146,28,16,146,2T,38:00,Luiz Fernando Moraes dos Santos,Atlético
147,29,13,147,1T,05:00,Christian Chagas Tarouco,Fortaleza
148,30,16,148,2T,14:00,Ronaldo de Oliveira Strada,Atlético
149,30,16,149,2T,39:00,Roni Medeiros de Moura,Atlético
150,30,16,150,2T,43:00,Rhaldney Norberto Simi,Atlético
151,31,2,151,2T,32:00,Jose Ivaldo Almeida Silva,Cruzeiro Saf
152,31,2,152,2T,45:00,Rafael Elias da Silva,Cruzeiro Saf
153,32,9,153,1T,44:00,Walter Kannemann,Grêmio
154,32,1,154,2T,02:00,Gabriel Lheman Xavier,Bahia
155,32,1,155,2T,11:00,Everton Augusto de Barros Ribeiro,Bahia
156,32,9,156,2T,22:00,Douglas Moreira Fagundes,Grêmio
157,32,9,157,2T,32:00,Gustavo Nunes Fernandes Gomes,Grêmio
158,33,3,158,1T,14:00,Jefferson David Savarino Quintero,Botafogo
159,33,3,159,1T,43:00,Danilo Barbosa da Silva,Botafogo
160,33,3,160,2T,11:00,Luiz Henrique Andre Rosa da Silva,Botafogo
161,33,17,161,2T,13:00,Diego Nicolas de La Cruz Arcosa,Flamengo
162,33,3,162,2T,33:00,Jefferson Ruan Pereira dos Santos,Botafogo
163,35,6,163,1T,29:00,Claudio Rodrigues Gomes,Fluminense
164,35,6,164,1T,35:00,Marcus Vinicius Oliveira Alencar,Fluminense
165,35,10,165,1T,35:00,Wesley Gassova Ribeiro Teixeira,Corinthians
166,35,10,166,1T,38:00,Rodrigo Garro,Corinthians
167,35,10,167,1T,42:00,Gustavo Henric da Silva,Corinthians
168,35,10,168,1T,43:00,Breno de Souza Bidon,Corinthians
169,36,12,169,1T,28:00,Diego Henrique Costa Barbosa,São Paulo
170,36,5,170,1T,39:00,Gustavo Raul Gomez Portillo,Palmeiras
171,36,12,171,1T,42:00,Igor Vinicius de Souza,São Paulo
172,36,5,172,1T,45:00,Endrick Felipe Moreira de Sousa,Palmeiras
173,36,5,173,2T,14:00,Murilo Cerqueira Paim,Palmeiras
174,36,12,174,2T,14:00,Jonathan Calleri,São Paulo
175,36,12,175,2T,23:00,Michel Daryl Araujo Villar,São Paulo
176,37,7,176,1T,15:00,Luis Antonio da Rocha Junior,Red Bull Bragantino
177,37,13,177,2T,12:00,Pedro Augusto Borges da Costa,Fortaleza
178,38,11,178,1T,03:00,Paolo Mauricio Lemos Merladett,Atlético Mineiro Saf
179,38,11,179,1T,36:00,Alan Steven Franco Palma,Atlético Mineiro Saf
180,38,15,180,2T,13:00,Matheus Alexandre Anastacio de Souza,Cuiabá Saf
181,38,15,181,2T,18:00,Alan Pereira Empereur,Cuiabá Saf
182,38,15,182,2T,31:00,Marllon Goncalves Jeronimo Borges,Cuiabá Saf
183,38,11,183,2T,35:00,Bruno de Lara Fuchs,Atlético Mineiro Saf
184,38,11,184,2T,43:00,Igor Silveira Gomes,Atlético Mineiro Saf
185,39,19,185,2T,03:00,Caique de Jesus Goncalves,Juventude
186,39,19,186,2T,17:00,Lucas Henrique Barbosa,Juventude
187,39,14,187,2T,30:00,Julimar Silva Oliveira Junior,Athletico Paranaense
188,40,9,188,1T,17:00,Miguel Angel Monsalve Gonzalez,Grêmio
189,40,18,189,2T,08:00,Newton Araujo da Costa Junior,Criciúma
