id,nome,cbf
365,Kevyn Lucas Ramos da Costa,36
366,Willian Roberto de Farias,8
367,Eduardo Jacinto de Biasi,21
368,Jean Victor Barros,16
369,Emerson Raymundo Santos,18
370,Thonny Anderson da Silva Carvalho,9
371,Miqueias Cabral Evaristo,8
372,Rodrigo Vasconcelos Oliveira,5
373,Vinicius Rodrigues Adelino dos Santos -,7
374,Adyson do Nascimento Soares,44
375,Marlon Matheus Lopes do Nascimento,6
376,Leonardo Cherede Dutra,AT
377,Fabio Luiz Carille de Araujo,TC
378,Eder Ferreira Graminho,33
379,Martin Nicolas Benitez,10
380,Giovanni Piccolomo,8
381,Lucas Ribeiro dos Santos,14
382,Breno Herculano Almeida,18
383,Gustavo Vilar dos Santos,14
384,Cristiano da Silva Leite,12
385,Paulo Henrique Silva Ribeiro,7
386,Gustavo Vilar dos Santos -,14
387,Fabricio Dominguez Huertas,8
388,Leonardo Augusto dos Santos Pereira,38
389,Lucas Rafael Araujo Lima,19
390,Luis Antonio Ferreira Rodrigues,94
391,Kleiton Pego Duarte,75
392,Romulo da Silva Machado,17
393,Bruno Aparecido Reis Ezequiel,5
394,Guilherme Brandao Azevedo,21
395,Guilherme Xavier de Oliveira,17
396,Wendell Fernandes da Silva,15
397,Warley Leandro da Silva,28
398,Luiz Ricardo Alves,99
399,Jorge Andres Roa Jimenez,5
400,Umberto Lourenco Louzer Filho,TC
401,João Pedro Galvão de Carvalho,57
402,Giovanni Augusto Oliveira Cardoso,10
403,Bruno Leonardo dos Santos Covas,33
404,Thomas Jaguaribe Bedinelli,30
405,Matheus Fernando Cavichioli,26
406,Facundo Ismael Castro Souto,7
407,Saulo Rodrigues da Silva,73
408,Guilherme Castilho Carvalho,99
409,Mario Sergio Pereira Junior,89
410,Ricardo Chuva Rafael dos Santos Bernardino,AT
411,Guilherme Seefeldt Krolow,35
412,Auremir Evangelista dos Santos,5
413,Cristian Jonatan Ortiz,59
414,Márcio Zanardi Gomes da Silva,TC
415,Rafael Thyere de Albuquerque Marques,15
416,Alexandre de Almeida Silva Junior,50
417,Lucas Ribeiro dos Santos,14
418,Dalbert Henrique Chagas Estevão,29
